문장,혐오 여부,문자 개수,y_pred
중동은 원래 좀비하고 비슷 하잖아..,1,20.0,0
저 시대에는 업소 여자도 낭만과 꿈이있었는듯,1,24.0,0
"마스크 필터 어디서 샀는지 알려줄수 있노?
M60928K 검색하니 그린릴베 구글 다 안나오노",1,52.0,0
황수정씨 복귀 축하합니다,1,13.0,0
바이러스보다 무서운건 바로 사람,1,17.0,0
한국인들은 애들영화취급 ㅋㅋㅋㅋ,1,17.0,0
어라. 누가 평점준거 지우기도 하는 모양일세.,1,25.0,0
길냥이를 키우고십고 한편으론 씁쓸함,1,19.0,0
애도.,1,3.0,0
아 안하려고 노오력은 해보겠노. 근데 원체 손가락이 내말을 안들어서 장담은못하겟다이기,1,47.0,0
사람이 하는일 살인 강간 전쟁 그리고 망각,1,23.0,0
소방관님은 연금10배로 올려줘야함..ㅜ,1,21.0,0
귀여운미달이..........ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,37.0,0
기부금품법 조항중에 1000만원을 모금한 뒤에 1년이 지나면 다시 모금을 할수있다는 내용이 있다고 들었노. 나도 예전에 기부금품법관련해서 조사받은적이 있었는데 1년 후에 모금받은거라 변호사상담받았을때 변호사도 아무 문제없다 그랬는데 무능하고 멍청한 남경찰이 법을 몰라서 나한테 죄 물으려고했었노 ㅋㅋㅋ 남경들 법 한남좆도 모른다는걸 알고있어라이기. 모금열리면 나도 꼭 후원하겠노,1,211.0,0
이혼은 안하고 이서진이 어머니랑 작은어머니 모시고 살고 장남이 자기 아버지 모시고 처가에서 분가할것 같은 느낌,1,61.0,0
머리가 아파져 옵니다 어흑,1,14.0,0
한가롭게 뒹굴고 있는겨?,1,13.0,0
그래서 손자는 1등함?1등해야 개꿀인데,1,21.0,0
하......,1,7.0,0
아무래도 이건 역사가 있는 거라..,1,19.0,0
외국인들에대한 성급한 일반화를 짓지 맙시다 성실하게 사시는분들 많습니다,1,39.0,0
한결같은 이중좆대,1,9.0,0
굳ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,1,17.0,0
정규면인기많을텐데 ㅠ 아까비 ㅋㅋㅋ 현우 지은~,1,26.0,0
붉다,1,2.0,0
미칠려면 이렇게 미쳐야지,1,13.0,0
아빠 ㅠㅠㅠ,1,6.0,0
꺽꺽,1,2.0,0
좋아ㅋㅋㅋㅋ,1,6.0,0
이거 돈주고본게후회가안된다,1,14.0,0
제발 한번만 더,1,8.0,0
천사의살인,1,5.0,0
네넌기네네네네녜네네네,1,11.0,0
그들만의 리그... 멋지네,1,14.0,0
"영어제목보고 맥주는 빛나야한다, 곰은 가벼워야한다로 알았지",1,32.0,0
노바디 더즈 잇 배터~,1,12.0,0
로봇 형체로 표절을 주장한다면 장동건 닮은 사람은 장동건 표절입니까? 예?,1,41.0,0
불면증;ㅂ;쵁오,1,8.0,0
싱 하 형,1,5.0,0
나라면 저 관심병사를 징계줬을텐데.. 정작 사고는 저놈이 친거자나,1,36.0,0
남자도 피해자 일 수가 있다.,1,16.0,0
홍상수의 첩첩산중만 건지다,1,14.0,0
할말이 없다,1,6.0,0
이제야 알 것 같다 다시 보니까 알겠더라,1,22.0,0
하항사하항사하하하하,1,10.0,0
ㄹㅇ 남혐하면 세상의 이치가 훤하게 보이는 쀼젤 ,1,27.0,0
만두 그만드세요,1,8.0,0
말도안되이건 올리자다시진짜,1,14.0,0
흠.. 돈많고 권력있는것들은 뭐하면서 사나궁금했더니 저러고 사네.. 의식수준을 높히는게 답이다.. 정신적으로 더 깨어나는것만이..,1,72.0,0
심쿵.. 나도저런연애하고싶다,1,15.0,0
cjs,1,3.0,0
t살존주의 경향,1,8.0,0
중국인들도 하와이 한국인처럼 미국에서 인종차별 많이 받았지,1,32.0,0
2% 부족해,1,6.0,0
아ㅋ 고릴라개귀욥네!!!!,1,14.0,0
낙오자 학교.,1,7.0,0
태안 앞바다를 오염시키고 태안 주민의 생계와 건강을 짓밟은 삼성을 상대로 싸워줄 사람은 어디 없을까?,1,56.0,0
정말 웃긴다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,19.0,0
원숭이라고 부르는데 빅풋이 화날만도 하지...,1,25.0,0
지금세대는 그나마 버티겠지만 다음다음세대에는 과연 지구에 무슨일이 벌어지겠는지 심각하게 생각해봐야 할 것이다.ㅠ,1,62.0,0
"변호사말데로 권력에 언론자유룰 빼앗기면?국민은 아무것도알지못하고 권력자들에게 맹종하는 노예삶을 살것이다,자유인이아닌,그래도 투표로 그들을뽑아주는한 노에로살것이다",1,89.0,0
cool,1,4.0,0
메인 시나리오에 임팩트가 적은 것 같은데 뭐 두고봐야겠져,1,31.0,0
ㅋㅋㅋㅋ웃기다 빵터짐,1,11.0,0
"제시카가 열심히 한게 보이고 , 좀 무섭기는 하더라, 하지만 태연한척 해야겠지?",1,44.0,0
당연하노 절대 내 생에 망혼이란 없노 혐애도 두 번 다시는 없노 이기,1,38.0,0
ㅅㅅㅅㅅㅅㅅㅅ,1,7.0,0
미레이유 난 낙오자가 될거야 기회는 아직 있어,1,25.0,0
일본침몰이 완전 표절이네..그래놓고 괴물이 표절?ㅎㅎ 어이없다,1,34.0,0
진짜 구라안치고 초딩 이후 무섭다 느낀건 처음이네요 나이가 26인데..ㅋㅋ 해와달보고 간만에 고개 돌리고 흠칫흠칫했습니다ㅋ 단순히 깜놀이 아닌 진짜 섬뜩ㅋ,1,86.0,0
sheo**** 쓰레기네 결말을 여기에 왜 적어두냐? 뇌가 없냐 아니면 근본이 사악한 놈인가,1,51.0,0
전설의시작ㅋㅋㅋㅋ,1,9.0,0
독도야 미안하는데 일본 너의들 우리 독도 가져가지 마라 이 원숭이들아 ㅋㅋㅋㅋㅋㅋ,1,45.0,0
클레 집을 나오며 조엘의 큰 키 밑으로 바짓가랑이 흩날리는 뒷모습 왜 저는 그게 울컥.,1,48.0,0
착착들어맞는 그들,1,9.0,0
할말없음,1,4.0,0
꼭 성공했으면 좋겠노.,1,12.0,0
일본은 언제...? 줄까!,1,14.0,0
오잉?,1,3.0,0
박근혜 좀 이런건 봐라 노무현 까는 연극 같은거나 보고 낄낄 대지말고,1,38.0,0
자 비 로 운 사 람 이 에 요,1,17.0,0
맞노 가만두라이기야노,1,11.0,0
이거 커뮤에 퍼갈 수 있냐? 이런걸 계속 퍼날라야함. 솔직히 여자들만 똥꼬충 버리면 자지들은 알아서 자적자한다.,1,62.0,0
봉묨ㅂ모몽모뭄ㅇㄷ,1,9.0,0
로빈이 나왔으니까 팬심이다,1,14.0,0
이런 신부라면 요괴라도 상관없다,1,17.0,0
오래됐어도 요즘보다 못할것도 없다.,1,19.0,0
학교 폭력 왕따 빨리 줄어야 한다,1,18.0,0
미달이 맹승지 서로 자랑하는건가?,1,18.0,0
보고나서 너무 잣 같아서 짱나서 평점이라도 남겨야 될 것 같더라. 개같은 할망구.. 토악질하도 해대서 드러운게 무서운 것 보다 더 하더라. 개고생만 하다 죽은 여주 지옥에서라도 천국 갔으면 해 ㅠㅜ,1,110.0,0
재밌다. 나라가 위험한데 범죄자 개인인권이 뭔상관.이론만 배워서 떠드는 애들과 현장에서 일하는 애들의 대립.,1,60.0,0
그냥 지린다 할말이 안나와....,1,18.0,0
동성애 혐오가 본능이라니...저런 게 베플이라는게 참 어이가 없다.동성애 혐오는 본능이 아니라 무지이다.잘 알겠냐 멍청이들아,1,69.0,0
이런거 어디 더 없나..,1,13.0,0
"살아가야지 내일은 또 태양이 떠오를 거고,파도에 뭐가 쓸려올 지 모르니까.",1,41.0,0
형사녀석 묘하게 끌린단 말이야 거칠고 제멋대로고 재수없는 녀석인데..꽤 멋있어,1,43.0,0
엄청 무섭다 일단봐바 어후,1,14.0,0
그때부터 지금까지...,1,12.0,0
볼만했다 어처구니없는 한글 빼고,1,17.0,0
으어어어알ㄴㅇ망ㄴ맒ㄴ,1,11.0,0
뭐하는 거지? 한번 뿐이잖아..,1,17.0,0
팜므파탈의 진수. 저런 때려죽일 년을 봤나,1,23.0,0
의지.,1,3.0,0
솔직히 어쩔수 없음,1,10.0,0
봊나멋있놐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ역시 보지들이 한남민국에 있기엔 노무 아깝다 이기야ㅋㅋㅋㅋㅋㅋㅋㅋ,1,52.0,0
왜 아무도 김리는 신경쓰지 않는건데ㅋㅋㅋㅋ,1,23.0,0
남자들은 여자들을 관리하는 자라. 따라서 의로운 여자는 순종해야 하며 알라께서 지키시는 것을 비밀스럽게 지켜야 한다. .” (코란4:3) 보지년들이 이슬람이 무섭긴 무섭나보구나~ 코란에는 전혀 손을 못대는거보니 ㅋㅋㅋㅋㅋㅋㅋ근데 이슬람이 무서운데 어찌 남자를 이기겠노 ㅋㅋㅋㅋㅋㅋ 대한민국 이슬람화 시켜야 된다이기야~~~ 눈가리고 내눈에 안보이면 진실이 아닌거같노??? 현실을 봐라 이 빠가년들아 ㅋㅋㅋㅋ 반박불가 팩폭씹인정??? 팩트로 웜썅년들 뒤치게 패니까 존잼^^,1,262.0,0
이명박근혜 그들의 질주는 친일똥누리당이 있는한계속 된다,1,30.0,0
통일호 화장실 강추,1,10.0,0
김동욱씨가 알바생배우랑 왕실에서 빠구리할때 진짜성x맞데고 하는것같았는데 실제 조선왕이 그렇게 재임중에 하루에 한명꼴로 하고잠잤으면성병걸렸을텐데전국에 왕의첩데리고후궁으로뽑힐때까지조선병사도 몰래꼬셔서 성폭생도 몰래당하고했던 후궁이면 문제있음,1,132.0,0
07 성재희♡ 나다이년들아ㅋㅋㅋ,1,17.0,0
먹고살기 힘든데 먹이라도 주자,1,16.0,0
밖에나가서 카니발 찾아서 사이드미러 부셔버리고 싶네,1,28.0,0
