문장,혐오 여부
정말 재밌다 연기도 좋고 디카프리오 짱,1
심쿵심쿵 미치네요이수혁땜에 잠 못자겠어요ㅠ자꾸 아른거림ㅠ,1
하지만 이니후빨러들은 이런거 관심 하나도 없음,0
@착한아이임당 A4 용지 덮고?,0
"진짜 평점 믿으면 안된 다는 걸 현실로 보여주는 영화입니다. 네티즌,전문가 하나같이 영화에서 예술성과 철학만 찾고있으니.. 영화 볼때 평점 안보고 봅니다.",1
조원진이 비례대표나 경북에서 공천 못받고도 입다물면 친중질히던거 이해할게,0
후!!!!!!!!!!! 쩔었다...,1
오랜만에 휴가내서 조카들 데리고 보고나왔어요 !! 조카들이 너무 좋아해서 평점 10점 남겨용 !!,1
제목만 보고도 더러운 머리스탈 떠올랐다 이름보다 아 그더런새끼겠지? 이랬다니까,0
중국 공산당 보는것 같다,0
별점별점별점별점별점,1
조.센.징들의 한계지. 민족성 자체가 동남아나 아프리카 토인이랑 다르게없음 ㅋㅋㅋ,0
오 좋은데요 사랑이 넘치네요,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 북한이 그렇게 좋으면 보따리 싸가서 살지 진짜 ㅋㅋㅋㅋㅋ,0
야기라유야의 매력을 알게된영화,1
노루엣이 5개나 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
"저새끼는 아무 것도 한게 없는데 목소리만 깔아서
지지율 높은 미스테리한 인간임",0
액션을 정말 이렇게 맛깔나게 표현할수가..!!! 신선하고 멋지다,1
"근데이전에박선영도 단식좀했는데진짜 쩔게마름ㄷㄷ

진짜좌파역겹다진짜존나게",0
엄마의 아픔이 고스란히 전해지는것 같아 슬펐어요..~,1
"대단한 영화이긴 한데, 도대체 남자 쌍둥이 예지자는 왜 필요한거지? 어차피 아가사가 제일 잘하고, 둘이 놓치는 것도 아가사 혼자서 다 잡아낼 정도인데, 한명이면 너무 쓸쓸할거같았나?",1
부모님에 대한 생각을 했습니다.,1
"저 개돼지들은 왜 꼭 당해봐야 아는걸까??

그래서 개돼진가?",0
무엇보다 벤의 스레이케오를 향한 희생적 사랑이 맘아프면서도 따뜻하게 느껴졌다.,1
따르릉,0
"서편제, 정말 감동적입니다.",1
홍통거르고 저토론은 캐리한건맞지않냐 나도봤는데 와 역시 뉴스 간판하던사람은 입터는거부터 급이다르구나 싶던데,0
@Cruze2D 길가에 정차하려고,0
15년전 영화라고는 믿기지 않을 정도!,1
굳,1
아재..,0
"SM드라마니 뭐니, 아이돌이니 뭐니 하는 '선입견'을 제외하고 보면, 남장여자라는 역할을 원작만큼이나 깔끔하게 소화한 드라마.아쉬웠다면, 별점을 적게 주는 많은 사람들의 공통점인 'SM 드라마'라는 점?",1
역시 재밌군ㅋ,1
정통 로맨틱코미디.첫사랑을 완벽하게 승화시킨 영화네요이렇게 잔잔한 로맨틱 코메디 좋아..,1
잔잔하다 10점 개인적으로 이런영화를 좋아해서..,1
진짜 재밌게 보고있어요ㅋㅋㅋ 주말만 기다려지네요ㅋㅋㅋ 그리고 제 생각에는 의사분이 그 아들같아요ㅋㅋㅋ,1
본능을 이기지 못한 계몽가와 어리석은 시민들이 빚어낸 비극. 그들의 감정을 매우 잘 표현해냈다..,1
틀에박힌 형식이 아닌 새로운 시도를 한 공포영화. 새로운 시도가 그럴게 쉬운게 아닐텐데 꽤나 매끄러운 스토리 진행과 적절한 긴장감에 화려한 볼거리 액션씬등이 돋보였음. 간만에 보는 꽤나 볼만한 영화였음,1
거짓말 탐지기로 한번 검증을 받아봐야...,0
"보통은 오랑캐라는 표현이 외국에서는 모욕으로 받아들여질수 있다 라는 논리로 갈 수 있는데

문재앙 병신새끼가 중국몽같은 소리해서 이 사단난거지

진짜 더불당 새끼들 중국한테 정치자금 받아먹은게 분명함",0
"아니 고작 딴따라새끼들 입국 못 하게 했다고
트럼프니 뭐니 전쟁까지 들먹이네? 병신들",0
르완다의 살아있는 영웅이다.,1
@글루미블루문 우리나라 전체 수출중에 중국에 수출하는게 가장 많은데 그럼 친중도 애국이겠네 뭐 이런 병신같은 새끼가 다 있지?,0
솔직히 처음 볼 때는 이게뭐야; 이랬는데 몇 년째 계속 보는중... 잊으려하면 다시 생각나서 그 예쁜 영상 다시 돌려보고 하고있다,1
Good::♥♥♥♥,1
"@Illumini 하긴 애미가 뭔지도 모르는새끼한테 무슨말을 하노 ㅋㅋㅋ

엔두장군이 광주폭동때 싹밀었으면 지금같은 꼬라지는 없엇을텐데 그치?",0
"보면서 생각하게만들고, 배우들의 짙은 연기.에 집중하면서 봤네요흥해라.",1
ucc에서 영화로 방하나에서 도시로 대단하다 상상력에 박수를 !!!,1
@il벤테이가 지식이 늘었다 ㄱㅅ,0
@익명_3c35a7 아문법 5조로 일등 벽상공신으로 승격되노,0
굳입니다 아주아주 굳굳,1
그래도 DJ는 막장까진 안 갔네,0
흑흑ㅎ그흑흑흐그 감동 ㅠㅠ,1
대가리박기에는 너무 많은 시간이 흘렀는데 지금 알았노?,0
재밌습니다. 이정현 배우의 앞으로의 행보가 기대됩니다.,1
추천. 고전명작을 읽은느낌입니다.,1
10점줘야돼 이드라마,1
"자 씩씩하게 아오지로 가즈아
-개돼지 국민일동--
ㅠㅠㅠ",0
이런 영화 더 많이 나왔음 좋겠어요~,1
힐링힐링 ~ ^^ 힐링됬긔,1
백성들 고혈을 짜내서 중국사신 대접하던 조선시대로 돌아갔노,0
@오피마네킹 연예인,0
짱깨가 청와대 청원한다는거 자체가 존나 씨발이네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
좌칭 진보세력이 왜 저런옷 입었지?????? ㅋㅋㅋㅋㅋ,0
@인천노무 수위개높네 미친놈 ㅋㅋㅋㅋ,0
북한 공식 인증 삶은 소대가리 아니랄까봐..,0
한걸레 아니랄까봐 걸레같이 씨부리노,0
배우신분 닥 ㅇㅂ,0
오랜만에 공감가는 사랑얘기. 좋네요.,1
정말 멋진분~~~~~~심쿵~♡,0
정치색 씨게 먹은거지 ㅋㅋ,0
인트로맘에 듬 ^^ 꼬마들 귀여움 ^^,1
너무 재밌어요~~!!!!!!대박!!,1
너와나함께라면 우린 최고야,1
"다른뮤지컬영화에선 스토리가 아쉬웠는데 이영환 노래,춤에 스토리도 나쁘지않았다",1
사유하는 영화 만들기의 어떤 한 극점!,1
이영화에는 등급이없다 라는 영화보고 보게된 영화. 힐러리스웽크 다시보게됨,1
ㅋㅋㅋㅋㅋ 노무현 등장 개뿜,0
슬프고 불쌍하네요 아빠라는 말이 얼마나하고 싶었을까...,1
