문장,혐오 여부,문자 개수,y_pred
"옛날 노가다 할때 액체질소 많이 썻는데,

얼리고 깨고 하는거 의외로 재밌음",0,44.0,1
어디서 봄?,0,6.0,1
우와 !! 이거 오늘 첨 알았다. 암투병중 아들이 마지막으로 연 가게..그걸 아버지가 키워줄라고 일 봐준거고..아들은 얼마나 회한의 시간을 보내며 인생을 마감했을까? 진짜 맷퇴지같은 맘충은 사람으로 인식하면 안된다이기. 이런 것들 상대로는 서비스한다는 마인드는 버려야될듯. 개대지를 상대한다지마 개사료도 아깝다..내막을 보니 상관도 없는 내가 가슴이 아프네..휴,0,202.0,1
중동은 원래 좀비하고 비슷 하잖아..,1,20.0,0
저 시대에는 업소 여자도 낭만과 꿈이있었는듯,1,24.0,0
@도브바디워시 수트는.너무 추울꺼 같아서..,0,24.0,1
"마스크 필터 어디서 샀는지 알려줄수 있노?
M60928K 검색하니 그린릴베 구글 다 안나오노",1,52.0,0
황수정씨 복귀 축하합니다,1,13.0,0
우웩,0,2.0,1
어게인 1910 !!!,0,12.0,1
GG 합니다,0,6.0,1
바이러스보다 무서운건 바로 사람,1,17.0,0
영미~~~~~,0,7.0,1
오~,0,2.0,1
I felt a good excursion.,0,24.0,1
She is so Beautiful ♡,0,21.0,1
한국인들은 애들영화취급 ㅋㅋㅋㅋ,1,17.0,0
일부러 못된짓하려는거 티나서 웃기질않네,0,21.0,1
어라. 누가 평점준거 지우기도 하는 모양일세.,1,25.0,0
선릉역점이라고 맨처음 봤었는뎅,0,16.0,1
길냥이를 키우고십고 한편으론 씁쓸함,1,19.0,0
브레드하고메시는 봐줄만허네,0,14.0,1
이런 거 볼 때마다 내가 지금 30대 초반까지 원나잇만 6~70번 하면서 저런 적이 한번도 없다는 게 참 운이 좋았다는 생각이 든다ㅋㅋㅋ,0,76.0,1
미국 없으면 다시 구한말로 돌아거는 거,0,21.0,1
솔직한게 최고야.,0,9.0,1
... 나.라.를 손.절.한.다.,0,18.0,1
애도.,1,3.0,0
맘편히먹고 살어..,0,10.0,1
아 안하려고 노오력은 해보겠노. 근데 원체 손가락이 내말을 안들어서 장담은못하겟다이기,1,47.0,0
사람이 하는일 살인 강간 전쟁 그리고 망각,1,23.0,0
성인지 감수성과 부드러운 카리스마로 시민들을 이끄는 모습이다.,0,34.0,1
배울점은 배워야한다..이런건 확실하게 배워야함,0,25.0,1
소방관님은 연금10배로 올려줘야함..ㅜ,1,21.0,0
참 예술과 외설의 간극이란...,0,17.0,1
아멘!!!,0,5.0,1
귀여운미달이..........ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,37.0,0
기부금품법 조항중에 1000만원을 모금한 뒤에 1년이 지나면 다시 모금을 할수있다는 내용이 있다고 들었노. 나도 예전에 기부금품법관련해서 조사받은적이 있었는데 1년 후에 모금받은거라 변호사상담받았을때 변호사도 아무 문제없다 그랬는데 무능하고 멍청한 남경찰이 법을 몰라서 나한테 죄 물으려고했었노 ㅋㅋㅋ 남경들 법 한남좆도 모른다는걸 알고있어라이기. 모금열리면 나도 꼭 후원하겠노,1,211.0,0
깔깔깔깔깔까띾라깔깔까라깔,0,13.0,1
이혼은 안하고 이서진이 어머니랑 작은어머니 모시고 살고 장남이 자기 아버지 모시고 처가에서 분가할것 같은 느낌,1,61.0,0
머리가 아파져 옵니다 어흑,1,14.0,0
한가롭게 뒹굴고 있는겨?,1,13.0,0
그래서 손자는 1등함?1등해야 개꿀인데,1,21.0,0
하......,1,7.0,0
아무래도 이건 역사가 있는 거라..,1,19.0,0
눈물난다 ㅠ,0,6.0,1
우리나라의 과거 였고 어쩌면 다가올 미래의 모습이다.,0,29.0,1
시간은 당신이 정해요.,0,12.0,1
외국인들에대한 성급한 일반화를 짓지 맙시다 성실하게 사시는분들 많습니다,1,39.0,0
와우,0,2.0,1
한결같은 이중좆대,1,9.0,0
"편육은 밑에 잘 까셨죠 스~

여전히 건강하시구먼...",0,32.0,1
굳ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,1,17.0,0
귀엽다,0,3.0,1
괜찮아요.,0,5.0,1
니 점수는 너무 낮아.,0,12.0,1
정규면인기많을텐데 ㅠ 아까비 ㅋㅋㅋ 현우 지은~,1,26.0,0
보꾸기,0,3.0,1
"사와이 료가 출연한 품번좀 알려줘라..
여배우들은 품번찾기 쉽던데 남배우들은 아예 체계화가 안되있어서 모르겠음..",0,64.0,1
안드는 부분이라는줄,0,10.0,1
붉다,1,2.0,0
2편 보다가 f5누르니 사라졌노 다시 올려달라 이기..,0,30.0,1
미칠려면 이렇게 미쳐야지,1,13.0,0
아빠 ㅠㅠㅠ,1,6.0,0
진리의 노루엣 ^노^,0,11.0,1
미드 제목이 오피스임? 재밌냐,0,16.0,1
"식인종족 지나(支那)

http://blog.daum.net/hb-slbk/6043878",0,51.0,1
노무현의 대통령의 죽음. 누군가에겐 최고의 가치입니다,0,29.0,1
만나서 반갑습니다.,0,10.0,1
꺽꺽,1,2.0,0
좋아ㅋㅋㅋㅋ,1,6.0,0
ㅇㅇ알겠다,0,5.0,1
이거 돈주고본게후회가안된다,1,14.0,0
He started showing his true color since Park's impeachment.,0,59.0,1
제발 한번만 더,1,8.0,0
천사의살인,1,5.0,0
네넌기네네네네녜네네네,1,11.0,0
느려,0,2.0,1
전형적인 싸이코임,0,9.0,1
에릭병장님 좋은데로 가셨으면좋겠다..ㅠ,0,21.0,1
그들만의 리그... 멋지네,1,14.0,0
"영어제목보고 맥주는 빛나야한다, 곰은 가벼워야한다로 알았지",1,32.0,0
노바디 더즈 잇 배터~,1,12.0,0
로봇 형체로 표절을 주장한다면 장동건 닮은 사람은 장동건 표절입니까? 예?,1,41.0,0
점점 띨빵하게 변해가네,0,12.0,1
불면증;ㅂ;쵁오,1,8.0,0
싱 하 형,1,5.0,0
유두가 섹시한데?,0,9.0,1
나라면 저 관심병사를 징계줬을텐데.. 정작 사고는 저놈이 친거자나,1,36.0,0
남자도 피해자 일 수가 있다.,1,16.0,0
네네 죶됬겠죠~,0,8.0,1
입모양봐라..ㄷㄷ,0,9.0,1
홍상수의 첩첩산중만 건지다,1,14.0,0
마음이 기특하다,0,8.0,1
할말이 없다,1,6.0,0
"Next stop.jonggak, jonggak station!",0,35.0,1
이제야 알 것 같다 다시 보니까 알겠더라,1,22.0,0
아주 바르게 자라났구나.,0,13.0,1
그녀는 선생님이 되기 위해 일을 그만두었다.,0,24.0,1
하항사하항사하하하하,1,10.0,0
이게 맞지... 왜 거꾸로 가는 세상인가,0,22.0,1
또봐도 쥰나재밋쩡^^ㅇㅂ,0,13.0,1
ㄹㅇ 남혐하면 세상의 이치가 훤하게 보이는 쀼젤 ,1,27.0,0
"우파에도 이런사람들이 필요하다
대북 휴민트같은 존재가 우리나라에 다시 필요함",0,43.0,1
만두 그만드세요,1,8.0,0
말도안되이건 올리자다시진짜,1,14.0,0
흠.. 돈많고 권력있는것들은 뭐하면서 사나궁금했더니 저러고 사네.. 의식수준을 높히는게 답이다.. 정신적으로 더 깨어나는것만이..,1,72.0,0
심쿵.. 나도저런연애하고싶다,1,15.0,0
전설의 시작,0,6.0,1
우파의 대표가 되어주세요..,0,15.0,1
"Mama, I just killed a dog",0,25.0,1
cjs,1,3.0,0
t살존주의 경향,1,8.0,0
중국인들도 하와이 한국인처럼 미국에서 인종차별 많이 받았지,1,32.0,0
2% 부족해,1,6.0,0
아ㅋ 고릴라개귀욥네!!!!,1,14.0,0
깍두기,0,3.0,1
